Tab,Main cybercrime type,Cybercrime subcategory,Cybercrime incident type,Gender,Age,Small-to-medium business owner status,2024 prevalence (%),2023 adjusted estimates (%),2024 adjusted estimates (%),Statistically significant difference (2023 vs 2024)
Tab 1,Any cybercrime (all),,,Male,35 – 64,All,47,,,
Tab 1,Any cybercrime (all),,,Male,65+,All,45.8,,,
Tab 1,Any cybercrime (all),,,Male,All ages,All,48.4,,,
Tab 1,Any cybercrime (all),,,Female,18 – 34,SME owner,63.6,,,
Tab 1,Any cybercrime (all),,,Female,35 – 64,SME owner,58.9,,,
Tab 1,Any cybercrime (all),,,Female,65+,SME owner,46.2,,,
Tab 1,Any cybercrime (all),,,Female,All ages,SME owner,58.9,,,
Tab 1,Any cybercrime (all),,,Female,18 – 34,Not an SME owner,49.1,,,
Tab 1,Any cybercrime (all),,,Female,35 – 64,Not an SME owner,43.3,,,
Tab 1,Any cybercrime (all),,,Female,65+,Not an SME owner,42.8,,,
Tab 1,Any cybercrime (all),,,Female,All ages,Not an SME owner,44.9,,,
Tab 1,Any cybercrime (all),,,Female,18 – 34,All,49.9,,,
Tab 1,Any cybercrime (all),,,Female,35 – 64,All,45.6,,,
Tab 1,Any cybercrime (all),,,Female,65+,All,43,,,
Tab 1,Any cybercrime (all),,,Female,All ages,All,46.3,,,
Tab 1,Any cybercrime (all),,,All persons,18 – 34,SME owner,64.8,,,
Tab 1,Any cybercrime (all),,,All persons,35 – 64,SME owner,54.6,,,
Tab 1,Any cybercrime (all),,,All persons,65+,SME owner,45.9,,,
Tab 1,Any cybercrime (all),,,All persons,All ages,SME owner,56.7,,,
Tab 1,Any cybercrime (all),,,All persons,18 – 34,Not an SME owner,49.5,,,
Tab 1,Any cybercrime (all),,,All persons,35 – 64,Not an SME owner,44.4,,,
Tab 1,Any cybercrime (all),,,All persons,65+,Not an SME owner,44.2,,,
Tab 1,Any cybercrime (all),,,All persons,All ages,Not an SME owner,45.9,,,
Tab 1,Any cybercrime (all),,,All persons,18 – 34,All,51.2,,,
Tab 1,Any cybercrime (all),,,All persons,35 – 64,All,46.4,,,
Tab 1,Any cybercrime (all),,,All persons,65+,All,44.3,,,
Tab 1,Any cybercrime (all),,,All persons,All ages,All,47.4,,,
Tab 1,Online abuse and harassment,Extortion or harassment involving images or videos,,Male,All ages,All,6.6,,,
Tab 1,Online abuse and harassment,Extortion or harassment involving images or videos,,Female,All ages,All,4.2,,,
Tab 1,Online abuse and harassment,Extortion or harassment involving images or videos,,All persons,18 – 34,All,8.2,,,
Tab 1,Online abuse and harassment,Extortion or harassment involving images or videos,,All persons,35 – 64,All,5,,,
